date,close,episode,actions,transactions,total_assets,reward,assets_baseline,landmark,best_reward,landmark2,regret,actions_signal
2016-07-01,3.82,15,0.04498558,[59.03619385],999206.2344048826,-0.038171163161894,860264.0,,926019.5199999999,-,1.079033662708193,^
2016-07-04,3.87,15,0.04056269,[53.09252548],999239.2519303948,-0.038171163161894,871524.0,,938139.5199999999,-,1.065128619600627,^
2016-07-05,3.91,15,0.05166819,[66.75476837],999409.7596623664,-0.038171163161894,880532.0,,947835.5199999999,-,1.0544126471039685,^
2016-07-06,3.91,15,0.05166819,[66.07185364],999548.5477680914,-0.038171163161894,880532.0,,947835.5199999999,-,1.0545590734646573,^
2016-07-07,3.94,15,0.05166819,[66.07185364],999547.7727452484,-0.038171163161894,887288.0,,955107.5199999999,-,1.046529057529825,^
2016-07-08,3.91,15,0.05166819,[65.56876373],999655.6343800628,-0.038171163161894,880532.0,,947835.5199999999,-,1.0546720536281051,^
2016-07-11,3.9,15,0.04884902,[62.4667778],999544.255636706,-0.038171163161894,878280.0,,945411.5199999999,-,1.0572583837741962,^
2016-07-12,4.05,15,0.05270654,[67.57248688],999506.0303267678,-0.038171163161894,912060.0,,981771.5199999999,-,1.0180637856828114,^
2016-07-13,4.34,15,0.04703401,[58.06668472],1000077.7642212212,-0.038171163161894,977368.0,/,1052067.52,-,0.9505832517491094,^
2016-07-14,4.26,15,0.04603259,[53.0329361],1001200.7787351682,-0.038171163161894,959352.0,,1032675.5199999999,-,0.9695211703431957,^
2016-07-15,4.25,15,0.04829024,[56.67868423],1000885.853880648,-0.038171163161894,957100.0,,1030251.5199999999,-,0.971496604907361,^
2016-07-18,4.29,15,0.05270654,[62.00769043],1000845.2834445096,-0.038171163161894,966108.0,,1039947.5199999999,-,0.9623997982556944,^
2016-07-19,4.24,15,0.04829024,[56.28233337],1001006.3574842892,-0.038171163161894,954848.0,,1027827.5199999999,-,0.9739049967102353,^
2016-07-20,4.21,15,0.05270654,[62.15393448],1000800.4882166992,-0.038171163161894,948092.0,,1020555.5199999999,-,0.9806428642086021,^
2016-07-21,4.21,15,0.05082395,[60.3609848],1000674.7460522426,-0.038171163161894,948092.0,,1020555.5199999999,-,0.9805196546800733,^
2016-07-22,4.2,15,0.05082395,[60.3609848],1000673.9836930044,-0.038171163161894,945840.0,,1018131.5199999999,-,0.9828533583686756,^
2016-07-25,4.16,15,0.05082395,[60.50470352],1000630.3635919336,-0.038171163161894,936832.0,,1008435.5199999999,-,0.992260133391507,^
2016-07-26,4.29,15,0.03502288,[42.09481049],1000455.7500771976,-0.038171163161894,966108.0,,1039947.5199999999,-,0.9620252280395819,^
2016-07-27,4.33,15,0.04902789,[57.14205933],1001025.7133146093,-0.038171163161894,975116.0,,1049643.52,-,0.9536816016494907,^
2016-07-28,4.4,15,0.04867769,[56.20979691],1001202.79852657,-0.038171163161894,990880.0,,1066611.52,-,0.9386761531757786,^
2016-07-29,4.26,15,0.04867769,[55.31555176],1001517.189150054,-0.038171163161894,959352.0,,1032675.5199999999,-,0.9698275690219268,^
2016-08-01,4.19,15,0.05270654,[61.86213303],1000878.4732300328,-0.038171163161894,943588.0,,1015707.52,-,0.9854002786452076,^
2016-08-02,4.24,15,0.05082395,[60.64910507],1000554.359405292,-0.038171163161894,954848.0,,1027827.5199999999,-,0.973465236078999,^
2016-08-03,4.26,15,0.02598993,[30.64850807],1000787.5746632096,-0.038171163161894,959352.0,,1032675.5199999999,-,0.9691210407149089,^
2016-08-04,4.28,15,0.05082395,[59.65252304],1000881.3888312158,-0.038171163161894,963856.0,,1037523.52,-,0.9646830838410446,^
2016-08-05,4.24,15,0.04597827,[53.7129364],1000976.0235394608,-0.038171163161894,954848.0,,1027827.5199999999,-,0.9738754840301036,^
2016-08-08,4.25,15,0.03275984,[38.63188553],1000782.391212922,-0.038171163161894,957100.0,,1030251.5199999999,-,0.9713961802385132,^
2016-08-09,4.25,15,0.03502288,[41.20339203],1000830.5217973024,-0.038171163161894,957100.0,,1030251.5199999999,-,0.9714428975531164,^
2016-08-10,4.27,15,0.04294394,[50.52228546],1000829.996454054,-0.038171163161894,961604.0,,1035099.5199999998,-,0.9668925326658969,^
2016-08-11,4.22,15,0.05082395,[59.5128212],1000928.4307723924,-0.038171163161894,950344.0,,1022979.5199999998,-,0.9784442515255757,^
2016-08-12,4.29,15,0.03247057,[38.47223663],1000676.996578398,-0.038171163161894,966108.0,,1039947.5199999999,-,0.962237975795546,^
2016-08-15,4.42,15,0.04732698,[55.15965271],1001030.1431451036,-0.038171163161894,995384.0,,1071459.52,-,0.934267813631544,^
2016-08-16,4.48,15,0.04867769,[55.06525421],1001693.3521563506,-0.038171163161894,1008896.0,,1086003.52,-,0.9223665795819433,^
2016-08-17,4.44,15,0.04867769,[54.32777405],1002002.3500213987,-0.038171163161894,999888.0,,1076307.52,-,0.930962881334694,^
2016-08-18,4.57,15,0.05270654,[59.3542099],1001792.9613916076,-0.038171163161894,1029164.0,,1107819.52,-,0.9042925705006603,^
2016-08-19,4.56,15,0.04867769,[53.25786209],1002478.02685047,-0.038171163161894,1026912.0,,1105395.52,-,0.9068953227261768,^
2016-08-22,4.46,15,0.0467893,[51.30405807],1002424.0059483338,-0.038171163161894,1004392.0,,1081155.52,-,0.9271783637087971,^
2016-08-23,4.42,15,0.04884902,[54.76347733],1001885.2663345428,-0.038171163161894,995384.0,,1071459.52,-,0.9350659055552026,^
2016-08-24,4.38,15,0.04884902,[55.25907135],1001667.1279504125,-0.038171163161894,986376.0,,1061763.52,-,0.9433994567362913,^
2016-08-25,4.33,15,0.04732698,[54.02623367],1001446.7792034684,-0.038171163161894,975116.0,,1049643.52,-,0.9540827529745226,^
2016-08-26,4.34,15,0.04884902,[56.40764618],1001168.8479725022,-0.038171163161894,977368.0,,1052067.52,-,0.9516203370412026,^
2016-08-29,4.26,15,0.04732698,[54.52416992],1001224.1235788914,-0.038171163161894,959352.0,,1032675.5199999999,-,0.9695437765183893,^
2016-08-30,4.28,15,0.05270654,[61.86213303],1000770.9850069016,-0.038171163161894,963856.0,,1037523.52,-,0.964576672928727,^
2016-08-31,4.28,15,0.03247057,[37.9329071],1000884.5388183264,-0.038171163161894,963856.0,,1037523.52,-,0.9646861199043723,^
2016-09-01,4.23,15,0.03247057,[37.9329071],1000884.0517597992,-0.038171163161894,952596.0,,1025403.52,-,0.9760879812074365,^
