,date,actions,transactions
370,2011-03-15,[-1.],[0.]
371,2011-03-16,[-1.],[0.]
372,2011-03-17,[0.2098204],[0.]
373,2011-03-18,[-1.],[0.]
374,2011-03-21,[-1.],[0.]
375,2011-03-22,[-1.],[0.]
376,2011-03-23,[-1.],[0.]
377,2011-03-24,[-1.],[0.]
378,2011-03-25,[-1.],[0.]
379,2011-03-28,[-1.],[0.]
380,2011-03-29,[-1.],[0.]
381,2011-03-30,[-1.],[0.]
382,2011-03-31,[-1.],[0.]
383,2011-04-01,[-1.],[0.]
384,2011-04-06,[-1.],[0.]
385,2011-04-07,[-1.],[0.]
386,2011-04-08,[-1.],[0.]
387,2011-04-11,[-1.],[0.]
388,2011-04-12,[-1.],[0.]
389,2011-04-13,[-1.],[0.]
390,2011-04-14,[-1.],[0.]
391,2011-04-15,[-1.],[0.]
392,2011-04-18,[-1.],[0.]
393,2011-04-19,[-1.],[0.]
394,2011-04-20,[-1.],[0.]
395,2011-04-21,[-1.],[0.]
396,2011-04-22,[-1.],[0.]
397,2011-04-25,[-1.],[0.]
398,2011-04-26,[-1.],[0.]
399,2011-04-27,[-1.],[0.]
400,2011-04-28,[-1.],[0.]
401,2011-04-29,[-1.],[0.]
402,2011-05-03,[-1.],[0.]
403,2011-05-04,[-1.],[0.]
404,2011-05-05,[-1.],[0.]
405,2011-05-06,[-1.],[0.]
406,2011-05-09,[-1.],[0.]
407,2011-05-10,[-1.],[0.]
408,2011-05-11,[-1.],[0.]
409,2011-05-12,[-1.],[0.]
410,2011-05-13,[-1.],[0.]
411,2011-05-16,[-1.],[0.]
412,2011-05-17,[-1.],[0.]
413,2011-05-18,[-1.],[0.]
414,2011-05-19,[-1.],[0.]
415,2011-05-20,[-1.],[0.]
416,2011-05-23,[-1.],[0.]
417,2011-05-24,[-1.],[0.]
418,2011-05-25,[-1.],[0.]
419,2011-05-26,[-1.],[0.]
420,2011-05-27,[-1.],[0.]
421,2011-05-30,[-1.],[0.]
422,2011-05-31,[-1.],[0.]
423,2011-06-01,[-1.],[0.]
424,2011-06-02,[-1.],[0.]
425,2011-06-03,[-1.],[0.]
426,2011-06-07,[-1.],[0.]
427,2011-06-08,[-1.],[0.]
428,2011-06-09,[0.2098204],[0.]
429,2011-06-10,[-1.],[0.]
430,2011-06-13,[-1.],[0.]
431,2011-06-14,[-1.],[0.]
432,2011-06-15,[-1.],[0.]
433,2011-06-16,[-1.],[0.]
434,2011-06-17,[-1.],[0.]
435,2011-06-20,[-1.],[0.]
436,2011-06-21,[-1.],[0.]
437,2011-06-22,[-1.],[0.]
438,2011-06-23,[-1.],[0.]
439,2011-06-24,[-1.],[0.]
440,2011-06-27,[-1.],[0.]
441,2011-06-28,[-1.],[0.]
442,2011-06-29,[-1.],[0.]
443,2011-06-30,[-1.],[0.]
444,2011-07-01,[-1.],[0.]
445,2011-07-04,[-1.],[0.]
446,2011-07-05,[-1.],[0.]
447,2011-07-06,[-1.],[0.]
448,2011-07-07,[-1.],[0.]
449,2011-07-08,[-1.],[0.]
450,2011-07-11,[-1.],[0.]
451,2011-07-12,[-1.],[0.]
452,2011-07-13,[-1.],[0.]
453,2011-07-14,[-1.],[0.]
454,2011-07-15,[-1.],[0.]
455,2011-07-18,[-1.],[0.]
456,2011-07-19,[-1.],[0.]
457,2011-07-20,[-1.],[0.]
458,2011-07-21,[-1.],[0.]
459,2011-07-22,[-1.],[0.]
460,2011-07-25,[-1.],[0.]
461,2011-07-26,[-1.],[0.]
462,2011-07-27,[-1.],[0.]
463,2011-07-28,[-1.],[0.]
464,2011-07-29,[-1.],[0.]
465,2011-08-01,[-1.],[0.]
466,2011-08-02,[-0.9787585],[0.]
467,2011-08-03,[-1.],[0.]
468,2011-08-04,[-0.9787585],[0.]
469,2011-08-05,[-1.],[0.]
470,2011-08-08,[-1.],[0.]
471,2011-08-09,[-1.],[0.]
472,2011-08-10,[-1.],[0.]
473,2011-08-11,[-1.],[0.]
474,2011-08-12,[-1.],[0.]
475,2011-08-15,[-1.],[0.]
476,2011-08-16,[-1.],[0.]
477,2011-08-17,[-1.],[0.]
478,2011-08-18,[-1.],[0.]
479,2011-08-19,[-1.],[0.]
480,2011-08-22,[-1.],[0.]
481,2011-08-23,[-1.],[0.]
482,2011-08-24,[-0.9787585],[0.]
483,2011-08-25,[-1.],[0.]
484,2011-08-26,[-1.],[0.]
485,2011-08-29,[-1.],[0.]
486,2011-08-30,[-1.],[0.]
487,2011-08-31,[-1.],[0.]
488,2011-09-01,[-1.],[0.]
489,2011-09-02,[-1.],[0.]
490,2011-09-05,[-1.],[0.]
491,2011-09-06,[-1.],[0.]
492,2011-09-07,[-1.],[0.]
493,2011-09-08,[-1.],[0.]
494,2011-09-09,[-1.],[0.]
495,2011-09-13,[-1.],[0.]
496,2011-09-14,[-1.],[0.]
497,2011-09-15,[-1.],[0.]
498,2011-09-16,[0.2098204],[0.]
499,2011-09-19,[-1.],[0.]
500,2011-09-20,[-1.],[0.]
501,2011-09-21,[-1.],[0.]
502,2011-09-22,[-1.],[0.]
